makespan,score
2215,700.0
2093,800.0
2240,940.0
2344,920.0
2229,740.0
2072,720.0
1970,1000.0
2208,680.0
2241,740.0
2116,660.0
2182,700.0
2142,960.0
1977,740.0
1793,700.0
2077,900.0
2317,800.0
2206,820.0
2117,800.0
2211,800.0
2662,1000.0
2272,880.0
2406,800.0
2207,760.0
2758,1020.0
2184,980.0
2021,900.0
2205,860.0
1985,1140.0
2086,600.0
2215,980.0
2157,720.0
1982,700.0
1802,620.0
2036,1040.0
2214,640.0
1790,740.0
1829,400.0
2392,660.0
2012,840.0
1951,680.0
2103,520.0
2039,1060.0
1891,800.0
2147,1160.0
1935,760.0
2347,780.0
2092,700.0
2204,700.0
2575,760.0
1907,800.0
2083,840.0
2304,700.0
1995,800.0
2180,1220.0
1873,700.0
2178,920.0
2163,920.0
1912,720.0
2498,900.0
2279,1000.0
1897,820.0
1976,720.0
1985,760.0
1861,540.0
2347,1100.0
2023,880.0
1836,820.0
2043,680.0
2111,720.0
2267,1020.0
1862,640.0
2480,1080.0
1961,480.0
2181,640.0
2453,1220.0
2150,960.0
2342,1040.0
1800,680.0
2241,940.0
1977,600.0
1820,640.0
1999,760.0
1814,700.0
2128,780.0
2086,1180.0
2104,780.0
2064,960.0
2478,840.0
2307,680.0
1766,540.0
1802,620.0
2111,640.0
1922,400.0
2363,800.0
2212,580.0
1880,660.0
1802,860.0
2288,540.0
1999,860.0
2129,860.0
2312,800.0
2281,640.0
1800,680.0
2357,740.0
2090,740.0
2071,1100.0
2347,780.0
2285,620.0
2398,640.0
2188,840.0
2027,680.0
2043,680.0
2324,880.0
2172,840.0
2179,820.0
2214,640.0
1740,680.0
2222,700.0
2257,1060.0
2253,800.0
1922,720.0
2160,700.0
1814,700.0
2296,580.0
1754,580.0
2280,600.0
2070,980.0
2295,720.0
2387,920.0
1896,680.0
2272,920.0
1936,880.0
2037,460.0
2150,900.0
2045,560.0
1909,400.0
1893,480.0
2086,680.0
2242,900.0
2415,1020.0
1939,500.0
1879,820.0
2077,980.0
1860,680.0
2010,760.0
1756,620.0
2043,680.0
2043,680.0
2549,660.0
1903,540.0
2004,800.0
2076,620.0
2175,680.0
1899,640.0
2172,840.0
2239,420.0
2084,700.0
1784,700.0
2101,940.0
2012,840.0
2052,660.0
2124,760.0
1713,660.0
2368,660.0
2171,640.0
2069,980.0
2273,920.0
1767,380.0
2015,1040.0
1901,760.0
2229,700.0
1883,660.0
2612,920.0
2147,740.0
1922,760.0
1867,820.0
2169,820.0
1815,640.0
1976,480.0
1877,520.0
2204,700.0
1876,740.0
1872,900.0
2129,540.0
2117,800.0
2176,640.0
2077,1000.0
2169,780.0
1932,640.0
2150,580.0
1976,700.0
2092,700.0
1712,480.0
1766,540.0
2067,960.0
2153,840.0
1899,640.0
1918,780.0
2119,640.0
1890,660.0
2122,840.0
2013,820.0
1961,660.0
2031,960.0
2407,960.0
2317,780.0
1984,800.0
1834,820.0
1975,880.0
2271,580.0
2027,660.0
1883,500.0
1981,620.0
1951,720.0
2459,660.0
2050,940.0
1920,680.0
2029,640.0
1784,680.0
1873,680.0
2402,780.0
1736,540.0
1944,620.0
1885,440.0
2420,520.0
1986,540.0
1934,720.0
2079,900.0
2223,740.0
2077,600.0
2073,780.0
1962,700.0
2134,640.0
2466,660.0
1989,780.0
2046,820.0
2057,1060.0
1909,480.0
1735,500.0
1853,720.0
2257,620.0
2070,980.0
2100,900.0
2211,900.0
1963,940.0
1875,400.0
2366,620.0
2392,660.0
1860,680.0
1740,720.0
2386,860.0
2076,740.0
1974,760.0
2220,740.0
2034,760.0
2086,660.0
2264,740.0
1991,660.0
2032,660.0
2004,920.0
1826,520.0
2233,580.0
1983,720.0
2005,680.0
2284,740.0
2015,480.0
1885,440.0
2032,660.0
1906,820.0
1824,500.0
1952,720.0
2044,860.0
1911,720.0
2061,900.0
1963,700.0
1740,700.0
1873,660.0
2331,520.0
2063,380.0
1927,440.0
2085,700.0
2083,820.0
1639,400.0
1944,700.0
1996,660.0
2037,840.0
2101,760.0
2070,780.0
2054,720.0
2095,960.0
2076,1100.0
2018,680.0
2240,620.0
2179,1000.0
2068,660.0
2124,760.0
2533,860.0
2117,680.0
2033,540.0
2288,760.0
1934,380.0
2184,440.0
2310,800.0
1898,740.0
2214,640.0
1826,560.0
2043,860.0
2368,740.0
2292,800.0
2097,580.0
2074,840.0
2037,840.0
1928,680.0
2063,380.0
1844,440.0
2132,800.0
2164,660.0
2097,580.0
2256,880.0
2102,840.0
2398,640.0
1826,520.0
1880,560.0
2084,680.0
2088,680.0
2337,700.0
2321,740.0
1767,380.0
2640,860.0
2225,680.0
1779,660.0
1973,640.0
1871,600.0
1926,720.0
1966,640.0
2220,740.0
2257,920.0
1844,500.0
2240,600.0
1808,540.0
1936,680.0
1933,900.0
2031,660.0
1847,480.0
2061,620.0
1723,480.0
2168,800.0
1908,500.0
2037,540.0
1775,400.0
1869,480.0
2453,540.0
