makespan,score
1535,400.0
1496,760.0
1600,660.0
1493,660.0
1685,600.0
1662,500.0
1771,760.0
1661,600.0
1568,720.0
1425,400.0
1435,1000.0
1449,620.0
1304,660.0
1848,760.0
1495,680.0
1799,700.0
1527,680.0
1806,880.0
1453,600.0
1442,540.0
1576,740.0
1530,780.0
1839,660.0
1565,620.0
1733,800.0
1418,520.0
1522,960.0
1919,880.0
1708,860.0
1706,580.0
1486,940.0
1645,540.0
1524,720.0
1560,800.0
1462,420.0
1514,980.0
1660,520.0
1575,740.0
1344,480.0
1508,580.0
1628,780.0
1580,520.0
1686,600.0
1999,880.0
1517,820.0
1525,620.0
1464,480.0
1443,560.0
1680,820.0
1869,560.0
1992,920.0
1647,840.0
1788,1060.0
1468,840.0
1524,520.0
1956,780.0
1402,860.0
1610,440.0
1965,1060.0
1609,640.0
1628,780.0
1651,640.0
1754,640.0
1981,560.0
1622,600.0
1620,560.0
1856,940.0
1845,520.0
1495,480.0
1839,1200.0
1887,920.0
1544,760.0
1649,680.0
1510,640.0
1694,640.0
1691,580.0
1559,620.0
2109,900.0
1385,840.0
1741,500.0
1803,900.0
1612,1000.0
1453,580.0
1538,520.0
1780,580.0
1623,700.0
1969,660.0
1520,560.0
1510,340.0
1611,780.0
1415,740.0
1621,340.0
1606,780.0
1479,720.0
1420,660.0
1523,800.0
1591,560.0
1492,660.0
1362,620.0
1513,720.0
1137,40.0
1619,680.0
1063,0.0
1553,840.0
1089,0.0
1634,640.0
1089,20.0
1531,940.0
1149,40.0
1719,760.0
1095,100.0
1799,820.0
1586,700.0
1543,720.0
1063,20.0
1693,460.0
1089,0.0
1645,540.0
1076,0.0
1606,780.0
1217,40.0
1651,640.0
1187,100.0
1640,700.0
1576,920.0
1630,620.0
1565,620.0
1583,680.0
1635,320.0
1602,700.0
1581,460.0
1840,940.0
1172,20.0
1495,680.0
1545,700.0
1344,480.0
1089,0.0
1602,340.0
1197,20.0
1468,840.0
1089,0.0
1586,740.0
1108,0.0
1521,900.0
1167,120.0
1568,720.0
1089,0.0
1623,740.0
1591,840.0
1443,560.0
1089,0.0
1601,520.0
1089,0.0
1605,700.0
1799,820.0
1464,480.0
1402,860.0
1271,20.0
1238,140.0
1089,0.0
1453,580.0
1137,40.0
1439,660.0
1530,780.0
1159,20.0
1187,100.0
1076,80.0
1134,100.0
1387,600.0
1533,680.0
1286,0.0
1464,480.0
1184,80.0
1115,40.0
1089,40.0
1639,860.0
1185,40.0
1615,340.0
1134,140.0
1839,1220.0
1534,700.0
1332,320.0
1139,0.0
1118,120.0
1170,0.0
1485,760.0
1168,80.0
1116,40.0
1515,780.0
1451,560.0
1089,0.0
1439,660.0
1126,60.0
1167,120.0
1506,800.0
1717,700.0
1089,0.0
1257,80.0
1839,660.0
1100,20.0
1211,40.0
1628,780.0
1089,0.0
1095,100.0
1075,20.0
1191,20.0
1620,440.0
1663,780.0
1397,460.0
1515,340.0
1105,60.0
1532,800.0
1101,200.0
1331,840.0
1280,120.0
1439,660.0
1089,0.0
1344,480.0
1559,620.0
1286,0.0
1115,20.0
1511,740.0
1098,40.0
1089,0.0
1100,20.0
1118,120.0
1170,0.0
1534,340.0
1542,620.0
1223,540.0
1619,580.0
1706,580.0
1597,920.0
1414,560.0
1075,40.0
1115,20.0
1102,80.0
1492,680.0
1320,220.0
1714,1220.0
1506,800.0
1271,40.0
1089,0.0
1647,840.0
1089,0.0
1136,120.0
1179,80.0
1063,140.0
1116,20.0
1169,80.0
1265,340.0
1671,540.0
1089,0.0
1244,140.0
1139,20.0
1201,20.0
1076,0.0
1104,40.0
1781,700.0
1546,540.0
1740,580.0
1891,680.0
1089,0.0
1211,60.0
1049,80.0
1255,80.0
1102,20.0
1160,60.0
1530,780.0
1139,20.0
1108,60.0
1191,20.0
1116,40.0
1261,80.0
1289,600.0
1812,480.0
1549,700.0
1609,920.0
1757,880.0
1204,280.0
1559,620.0
1126,80.0
1172,80.0
1542,620.0
1773,520.0
1334,180.0
1438,760.0
1485,760.0
1191,20.0
1115,20.0
1606,780.0
1089,0.0
1344,320.0
1634,940.0
1530,800.0
1105,100.0
1098,0.0
1280,120.0
1506,800.0
1089,0.0
1089,0.0
1546,560.0
1115,20.0
1168,60.0
1471,760.0
1244,680.0
1129,0.0
1116,20.0
1546,880.0
1167,120.0
1063,20.0
1076,0.0
1105,60.0
1194,220.0
1555,660.0
1413,660.0
1418,620.0
1199,320.0
1217,40.0
1156,80.0
1158,0.0
1584,920.0
1138,0.0
1172,140.0
1089,0.0
1449,200.0
1408,420.0
1328,360.0
1137,40.0
1485,820.0
1402,500.0
