makespan,score
1467,8160.0
1351,8730.0
1310,8280.0
1527,6390.0
1186,8100.0
1233,6960.0
1377,6240.0
1330,6510.0
1367,7230.0
1412,6300.0
1351,5880.0
1425,6390.0
1370,8550.0
1365,7380.0
1404,7050.0
1288,6270.0
1434,7380.0
1251,6420.0
1349,7110.0
1369,7260.0
1271,6660.0
1391,8670.0
1213,6750.0
1242,7140.0
1231,6870.0
1242,6180.0
1194,6420.0
1152,6750.0
1422,7380.0
1591,7620.0
1292,5520.0
1298,7920.0
1255,6240.0
1325,7560.0
1293,6060.0
1421,7290.0
1124,7140.0
1259,5940.0
1355,8310.0
1212,6990.0
1269,6750.0
1216,8160.0
1450,7920.0
1421,7200.0
1318,5730.0
1295,5760.0
1366,6840.0
1401,7140.0
1209,6960.0
1305,6390.0
1446,7320.0
1334,8880.0
1372,7020.0
1503,5970.0
1376,8250.0
1350,6840.0
1230,7260.0
1215,8670.0
1453,6720.0
1299,6630.0
1317,5730.0
1400,5970.0
1268,6600.0
1378,6000.0
1324,5520.0
1314,8370.0
1134,7230.0
1167,5880.0
1187,6720.0
1156,5970.0
1311,6420.0
1361,5940.0
1317,7560.0
1370,7230.0
1329,6240.0
1371,6210.0
1392,7020.0
1342,7830.0
1317,7230.0
1368,6300.0
1492,6840.0
1438,7440.0
1269,5730.0
1305,5370.0
1376,7920.0
1245,7050.0
1343,7320.0
1341,6540.0
1575,6180.0
1281,6450.0
1296,7680.0
1308,5760.0
1353,6360.0
1259,6540.0
1297,7440.0
1279,7110.0
1181,7080.0
1144,5910.0
1271,6540.0
1348,6810.0
1084,3120.0
1341,6330.0
1225,6270.0
1414,6720.0
1371,7590.0
1123,5040.0
1221,5190.0
1154,5940.0
1233,6960.0
1376,7200.0
1344,6150.0
1048,2730.0
1128,4380.0
1308,6720.0
1147,5490.0
1293,5280.0
1230,7260.0
1152,6750.0
992,2730.0
1224,6810.0
1358,7350.0
1044,4950.0
1244,5310.0
958,1860.0
1280,6420.0
1349,7110.0
898,1140.0
1315,5700.0
1153,6150.0
1072,4410.0
1269,6900.0
1295,5880.0
1127,5220.0
1235,4770.0
1137,4350.0
1208,5460.0
1144,6810.0
1046,900.0
1130,5970.0
1162,5760.0
1096,5910.0
1309,4890.0
875,270.0
992,2850.0
1143,4290.0
1238,5430.0
1181,3690.0
972,2910.0
1109,5880.0
1225,6600.0
1351,8760.0
1130,5970.0
1086,4770.0
1068,2760.0
1230,4980.0
1172,6240.0
1284,6600.0
1390,6660.0
1025,2370.0
1180,4890.0
1337,6660.0
943,1350.0
996,2460.0
1237,5670.0
1072,2580.0
925,690.0
1285,7500.0
917,3120.0
909,210.0
931,690.0
1178,3660.0
1218,5250.0
1211,6120.0
1078,5010.0
1278,5580.0
1105,5070.0
1125,2730.0
1080,3630.0
1107,4920.0
1203,5520.0
1041,1920.0
1104,4200.0
894,1290.0
1242,6180.0
1093,2850.0
1313,5700.0
1222,6840.0
940,810.0
1034,4740.0
1058,2970.0
1137,2550.0
1187,4320.0
1054,4920.0
1000,3150.0
1001,1830.0
930,1590.0
1104,1980.0
1038,1530.0
1253,6810.0
940,750.0
932,600.0
946,720.0
1111,4830.0
1165,3630.0
995,4350.0
1242,4380.0
895,600.0
1137,4320.0
1044,4770.0
1230,4860.0
1282,5130.0
907,420.0
893,210.0
1284,6480.0
1114,6060.0
1146,5340.0
1193,6240.0
1180,4950.0
925,150.0
906,480.0
