makespan,score
1238,7410.0
1294,7830.0
1445,7590.0
1261,7050.0
1330,6660.0
1272,7020.0
1390,6390.0
1323,6360.0
1675,6870.0
1301,7050.0
1241,7950.0
1305,9210.0
1332,6840.0
1376,8040.0
1512,7320.0
1231,6270.0
1186,7020.0
1347,5910.0
1225,6900.0
1349,6360.0
1293,7380.0
1299,6990.0
1276,6480.0
1334,6810.0
1363,6810.0
1413,7320.0
1464,7560.0
1222,6690.0
1251,6090.0
1259,6330.0
1316,7830.0
1455,8880.0
1188,7290.0
1167,5460.0
1207,7500.0
1093,8310.0
1301,5310.0
1398,6330.0
1340,8130.0
1281,6390.0
1294,7230.0
1226,7230.0
1297,6030.0
1494,7140.0
1126,6180.0
1292,6390.0
1329,8880.0
1170,7260.0
1385,8340.0
1250,8160.0
1360,6510.0
1413,6030.0
1178,6270.0
1321,7770.0
1309,7440.0
1381,6720.0
1630,8970.0
1216,6930.0
1317,7830.0
1214,7170.0
1282,8550.0
1378,6810.0
1234,6750.0
1630,7620.0
1253,8280.0
1359,7230.0
1259,6840.0
1319,7710.0
1318,7500.0
1139,7650.0
1382,7110.0
1231,7230.0
1428,7080.0
1262,7050.0
1278,5430.0
1360,5910.0
1290,7620.0
1334,8130.0
1283,6930.0
1433,7650.0
1306,7890.0
1296,8490.0
1392,6810.0
1334,6630.0
1375,7740.0
1304,6600.0
1377,6900.0
1456,6360.0
1439,8340.0
1345,6060.0
1378,6960.0
1231,5700.0
1319,5730.0
1185,6720.0
1149,4980.0
1285,6810.0
1203,6330.0
1278,5850.0
1293,7170.0
1365,6870.0
1376,6300.0
1385,6990.0
1168,7440.0
1265,7110.0
1343,6720.0
1125,6270.0
1210,7140.0
1224,6240.0
1252,7800.0
1405,8220.0
1182,5790.0
1514,8280.0
1329,8220.0
1221,8460.0
1193,8280.0
1353,5730.0
1368,6300.0
1391,7650.0
1444,6510.0
1257,7740.0
1314,7620.0
1355,6030.0
1333,6480.0
1105,6000.0
1246,5550.0
1268,5910.0
1269,6060.0
1184,7740.0
1493,7980.0
1362,6120.0
1201,7080.0
1367,8340.0
1215,5520.0
1290,5640.0
1173,7320.0
1264,7200.0
1331,7050.0
1392,7620.0
1291,7080.0
1276,5910.0
1323,7830.0
1098,6810.0
1213,6960.0
1168,5880.0
1457,7260.0
1312,6990.0
1421,8100.0
1255,6930.0
1304,6630.0
1248,5580.0
1427,7770.0
1161,5520.0
1512,6960.0
1417,6990.0
1349,6360.0
1282,8520.0
1300,6360.0
1376,7410.0
1249,7050.0
1315,7320.0
1339,6630.0
1241,6870.0
1353,5550.0
1287,6690.0
1312,6360.0
1340,7740.0
1233,7740.0
1158,7380.0
1428,5940.0
1245,6420.0
1383,7620.0
1067,7080.0
1358,6690.0
1309,7200.0
1294,7710.0
1360,6930.0
1197,6090.0
1224,6930.0
1339,6390.0
1286,6540.0
1273,6450.0
1378,6150.0
1413,7530.0
1301,6180.0
1093,8310.0
1093,8310.0
1333,6480.0
1145,8040.0
1314,7680.0
1125,5220.0
1333,5700.0
1271,5850.0
1375,6690.0
1540,6960.0
1315,7110.0
1246,7320.0
1395,8130.0
1098,7050.0
1148,8160.0
1394,6630.0
1316,6000.0
1326,5640.0
1226,7230.0
1241,7200.0
1378,6960.0
1285,6840.0
1378,6060.0
1291,7170.0
1465,7620.0
1334,7770.0
1317,7500.0
1396,6270.0
1291,6690.0
1283,7290.0
1353,6090.0
1292,6240.0
1225,7110.0
1277,6180.0
1407,7500.0
1169,6870.0
1228,7140.0
1512,7200.0
1111,7050.0
1149,8160.0
1359,7500.0
1293,6690.0
1326,5580.0
1286,7590.0
1277,7830.0
1177,7590.0
1105,6000.0
1290,7650.0
1171,6750.0
1093,8130.0
1441,7830.0
1235,5580.0
1420,7620.0
1361,7470.0
1355,5640.0
1250,8100.0
1337,7590.0
1131,5940.0
1253,6930.0
1312,7380.0
1233,5370.0
1399,8190.0
1371,7350.0
1284,6540.0
1421,5850.0
1159,6660.0
1431,7140.0
1407,7020.0
1326,7020.0
1330,8340.0
1240,6390.0
1402,5970.0
1311,6150.0
1420,8070.0
1101,5880.0
1136,6210.0
1220,5970.0
1172,6900.0
1225,7020.0
1420,6540.0
1420,8220.0
1261,6360.0
1232,6210.0
