makespan,score
1762,980.0
1541,820.0
1714,840.0
1461,460.0
1498,560.0
1518,560.0
1950,1480.0
1783,820.0
1411,740.0
1946,560.0
1536,440.0
1606,640.0
1594,800.0
1645,840.0
1705,620.0
1399,360.0
1434,700.0
1438,300.0
1529,540.0
1828,680.0
1649,640.0
1358,540.0
1758,780.0
2398,1040.0
1529,720.0
1646,660.0
1529,380.0
1487,740.0
1430,420.0
1176,320.0
1479,480.0
1710,920.0
1488,500.0
1737,660.0
1688,500.0
1634,820.0
1920,640.0
1836,980.0
1667,760.0
1492,600.0
1577,420.0
1438,320.0
1764,700.0
1763,420.0
1707,500.0
1798,540.0
1310,520.0
1595,440.0
1555,460.0
1642,740.0
1448,600.0
1697,740.0
1686,600.0
1557,420.0
1636,580.0
1291,620.0
1590,820.0
1602,640.0
1494,480.0
1732,740.0
1823,800.0
1450,480.0
1911,720.0
1404,360.0
1376,560.0
1876,940.0
1467,520.0
1586,340.0
1685,660.0
1993,640.0
1782,540.0
1717,440.0
1828,760.0
1530,640.0
1618,780.0
1754,980.0
1832,920.0
1658,680.0
1601,640.0
1378,600.0
1476,520.0
1398,660.0
1492,540.0
1704,480.0
1747,760.0
1482,560.0
2015,1100.0
1579,600.0
1439,580.0
1232,320.0
1727,840.0
1534,500.0
1466,780.0
1656,840.0
1520,440.0
1561,1000.0
1519,700.0
1559,820.0
1523,620.0
1576,840.0
1452,420.0
1499,500.0
1627,640.0
1235,260.0
1138,240.0
1529,460.0
1591,520.0
1150,160.0
1409,240.0
1553,400.0
1380,200.0
1790,440.0
1783,480.0
1572,720.0
1778,760.0
1157,420.0
1451,200.0
1212,340.0
1247,340.0
1261,300.0
1717,460.0
1239,160.0
1494,280.0
1495,580.0
1619,860.0
1717,480.0
1376,560.0
1487,740.0
1388,120.0
1460,580.0
1579,540.0
1656,840.0
1178,80.0
1713,800.0
1626,600.0
1074,0.0
1434,200.0
1636,700.0
1276,240.0
1406,280.0
1396,160.0
1549,560.0
1178,140.0
1375,760.0
1185,180.0
1301,240.0
1495,780.0
1361,480.0
1560,460.0
1643,740.0
1089,0.0
1205,220.0
1663,1020.0
1424,480.0
1617,720.0
1361,220.0
1451,200.0
1280,20.0
1410,460.0
1409,400.0
1492,880.0
1493,520.0
1628,520.0
1551,520.0
1932,960.0
1595,440.0
1481,580.0
1193,100.0
1904,580.0
1240,180.0
1291,520.0
1326,360.0
1295,160.0
1575,460.0
1217,140.0
1730,600.0
1345,440.0
1543,420.0
1268,300.0
1494,720.0
1353,160.0
1197,80.0
1089,0.0
1074,0.0
1286,340.0
1368,460.0
1345,440.0
1755,780.0
1426,500.0
1386,420.0
1283,20.0
1144,160.0
1275,220.0
1214,160.0
1108,160.0
1177,40.0
1624,580.0
1413,540.0
1255,40.0
1524,280.0
1343,440.0
1646,660.0
1488,660.0
1552,740.0
1705,620.0
1482,940.0
1070,60.0
1324,480.0
1522,400.0
1194,100.0
1326,320.0
1469,1000.0
1346,180.0
1371,600.0
1493,440.0
1248,20.0
1537,420.0
1416,280.0
1703,720.0
1157,260.0
1514,500.0
1475,400.0
1389,300.0
1520,500.0
1314,260.0
1243,160.0
1173,480.0
1612,520.0
1174,160.0
1451,200.0
1285,220.0
1304,380.0
1318,460.0
1562,660.0
1333,600.0
1523,420.0
1089,40.0
1397,60.0
1258,280.0
1129,0.0
1322,260.0
1646,660.0
1115,0.0
1275,200.0
1202,20.0
1330,260.0
