makespan,score
1690,500.0
1868,680.0
1681,800.0
1625,520.0
1914,880.0
1780,820.0
1565,540.0
1588,560.0
1471,660.0
1803,680.0
1966,740.0
1651,720.0
1587,620.0
1478,380.0
1388,560.0
1379,440.0
1613,620.0
1502,860.0
1651,620.0
1605,560.0
1888,880.0
1545,640.0
1629,840.0
1399,700.0
1800,940.0
1675,1060.0
1866,720.0
1723,800.0
1812,760.0
1578,420.0
1594,760.0
1433,780.0
1522,780.0
1556,860.0
1580,780.0
1565,780.0
1555,820.0
1487,320.0
1474,740.0
1432,680.0
1327,540.0
1505,580.0
1670,980.0
1884,560.0
1510,540.0
1407,480.0
1387,540.0
1786,800.0
1778,780.0
1660,720.0
1376,620.0
1625,560.0
1558,740.0
1818,1100.0
1579,460.0
1628,1100.0
1616,800.0
1517,680.0
2064,740.0
1561,780.0
1733,680.0
1504,1020.0
1585,600.0
1689,520.0
1856,1120.0
1563,1000.0
1590,880.0
1595,760.0
1779,460.0
1530,560.0
1651,520.0
1795,740.0
1808,740.0
1341,580.0
1579,580.0
1954,720.0
1633,840.0
1601,900.0
1473,680.0
1509,620.0
1548,640.0
1453,660.0
1647,940.0
1495,600.0
1759,600.0
1415,480.0
1932,740.0
1542,500.0
1789,760.0
1566,340.0
1895,1020.0
1442,360.0
1486,380.0
1775,560.0
1748,840.0
1388,480.0
1744,840.0
1868,880.0
1828,1140.0
1839,1040.0
1640,700.0
1785,360.0
1432,680.0
1471,700.0
1514,380.0
1713,960.0
1719,640.0
1634,420.0
1604,720.0
1563,860.0
1792,620.0
1899,560.0
1495,840.0
1380,580.0
1563,1020.0
1572,340.0
1774,840.0
1537,780.0
1578,780.0
1745,680.0
1623,400.0
1673,700.0
1735,880.0
1516,680.0
1503,700.0
1512,700.0
1715,780.0
1735,900.0
1662,760.0
1276,500.0
1509,480.0
1686,920.0
1497,780.0
1748,840.0
1583,920.0
1463,280.0
1551,640.0
1798,720.0
1533,820.0
1663,540.0
1572,660.0
1732,580.0
1565,540.0
1856,1120.0
1541,860.0
1515,620.0
1785,920.0
1527,760.0
1858,1300.0
1336,640.0
1585,600.0
1638,780.0
1550,360.0
1641,620.0
1533,700.0
1545,500.0
1829,680.0
1536,680.0
1368,160.0
1735,620.0
1982,860.0
1491,500.0
1427,440.0
1513,560.0
1548,620.0
1719,640.0
1703,680.0
1466,580.0
1563,1020.0
1566,340.0
1331,660.0
1951,680.0
1681,660.0
2114,860.0
1652,880.0
1544,620.0
1705,460.0
1390,400.0
1453,360.0
1631,720.0
1633,620.0
1576,540.0
1679,580.0
1986,780.0
1479,580.0
1626,540.0
1595,660.0
1711,800.0
1647,780.0
1842,1020.0
1555,860.0
1564,620.0
1508,500.0
1795,800.0
1569,500.0
1715,760.0
1795,740.0
1501,380.0
1626,340.0
1563,880.0
1641,660.0
1588,560.0
1578,600.0
1610,840.0
1830,780.0
1651,920.0
1744,660.0
1450,520.0
1680,660.0
1656,840.0
1506,460.0
1625,600.0
1287,380.0
1563,700.0
1424,800.0
1526,740.0
1410,740.0
1611,720.0
1857,960.0
1527,700.0
1578,600.0
1713,960.0
1776,600.0
1480,560.0
1625,600.0
1544,620.0
1527,760.0
1522,780.0
1545,480.0
1567,620.0
1569,500.0
1416,360.0
1569,500.0
1857,960.0
1718,460.0
1688,820.0
1434,560.0
1862,800.0
1696,720.0
1429,500.0
1566,640.0
1303,600.0
1509,500.0
1593,600.0
1466,460.0
1523,740.0
1606,840.0
1509,940.0
1350,420.0
1287,380.0
1866,820.0
1616,940.0
1688,460.0
1432,680.0
1556,660.0
1620,780.0
1813,560.0
1411,560.0
1784,560.0
1615,440.0
1544,620.0
1481,640.0
1733,740.0
1287,380.0
1607,740.0
1521,800.0
1390,460.0
1643,520.0
1567,900.0
1397,320.0
1397,460.0
1727,560.0
1716,640.0
1890,780.0
1748,560.0
1382,360.0
1875,1180.0
1401,460.0
1797,940.0
1664,560.0
1493,640.0
1629,920.0
1433,780.0
1777,780.0
1425,680.0
1416,340.0
1539,540.0
1900,1160.0
1648,680.0
1773,520.0
1660,720.0
1674,840.0
1669,700.0
1585,600.0
1662,440.0
1661,700.0
1714,780.0
1593,560.0
1483,720.0
1544,620.0
1515,620.0
1649,680.0
1440,460.0
1513,600.0
1532,640.0
1534,420.0
1320,680.0
1432,740.0
1992,800.0
1479,660.0
1325,500.0
1520,460.0
1474,640.0
1306,400.0
1783,640.0
1676,400.0
1796,700.0
1536,400.0
1492,900.0
1717,540.0
1315,260.0
1877,1340.0
1529,480.0
1697,820.0
1451,440.0
1853,480.0
1657,460.0
1530,460.0
1591,640.0
1310,600.0
1538,440.0
1865,680.0
1521,680.0
1635,660.0
1784,560.0
1337,380.0
1420,520.0
1651,740.0
1697,500.0
1634,620.0
1630,480.0
1446,660.0
1524,480.0
1805,800.0
1502,640.0
1456,520.0
1565,540.0
1504,520.0
1825,680.0
1422,440.0
1572,680.0
1589,640.0
1678,720.0
1449,800.0
1444,560.0
1610,840.0
2014,680.0
1488,460.0
1457,580.0
1488,820.0
1454,420.0
1518,740.0
1577,740.0
1698,760.0
1520,480.0
1598,820.0
1121,400.0
1388,480.0
1316,540.0
1484,580.0
1336,380.0
1449,540.0
1313,420.0
1552,780.0
1547,620.0
1565,640.0
1631,700.0
1474,740.0
1410,480.0
1448,580.0
1708,580.0
1787,660.0
1235,440.0
1531,500.0
1593,600.0
1485,500.0
1212,360.0
1523,420.0
1539,540.0
1713,960.0
1923,920.0
1531,540.0
1406,420.0
1443,580.0
1557,780.0
1923,740.0
1121,400.0
1728,820.0
1462,560.0
1512,860.0
1493,560.0
1657,700.0
1453,720.0
1481,760.0
1482,780.0
1414,260.0
1665,940.0
1451,500.0
1448,420.0
1754,320.0
1576,660.0
1649,800.0
1951,960.0
1693,1000.0
1417,760.0
1540,560.0
1664,760.0
1788,880.0
1356,600.0
1368,520.0
1604,500.0
1538,500.0
1386,540.0
1643,460.0
1523,520.0
1356,580.0
1537,620.0
1658,640.0
1618,800.0
1553,480.0
1403,660.0
1647,600.0
1345,460.0
1751,620.0
1393,620.0
1529,480.0
1481,460.0
1784,340.0
1413,680.0
1766,860.0
1577,660.0
1388,480.0
1455,660.0
1324,620.0
1808,840.0
1718,640.0
1257,440.0
1313,420.0
1313,480.0
1229,440.0
1666,680.0
1601,480.0
1648,520.0
1760,520.0
1491,480.0
1359,560.0
1410,740.0
1493,560.0
1576,780.0
1474,700.0
1380,400.0
1478,600.0
1231,380.0
1382,560.0
1502,540.0
1522,600.0
1615,820.0
1841,600.0
1388,540.0
1712,300.0
1962,1000.0
1522,460.0
1820,640.0
1717,480.0
1569,720.0
1674,840.0
1459,520.0
1769,800.0
1801,860.0
1410,740.0
1619,780.0
1565,540.0
1659,540.0
1497,520.0
1699,580.0
1485,500.0
1698,820.0
1888,380.0
1673,740.0
1648,500.0
1635,580.0
1452,500.0
1643,520.0
1657,680.0
1691,440.0
1534,500.0
1462,560.0
1153,420.0
1448,420.0
1491,480.0
1321,440.0
1498,840.0
1350,600.0
1537,360.0
1544,620.0
1680,660.0
1423,580.0
1431,500.0
1635,500.0
1678,800.0
1512,360.0
1436,800.0
1555,700.0
1580,480.0
1408,440.0
1454,680.0
1546,540.0
1356,600.0
1726,940.0
1424,560.0
1258,400.0
1293,500.0
1481,460.0
1484,580.0
1699,760.0
1672,400.0
1356,600.0
1231,400.0
1617,500.0
1121,400.0
1310,500.0
1237,400.0
1153,400.0
1124,340.0
1118,360.0
1520,480.0
1384,340.0
1401,580.0
1967,700.0
1736,560.0
1359,420.0
1587,480.0
