makespan,score
1388,380.0
1654,660.0
1583,840.0
1712,520.0
1760,600.0
1745,600.0
1600,760.0
1619,520.0
1376,380.0
1582,560.0
1566,600.0
1613,600.0
1809,820.0
1560,740.0
1879,740.0
1503,800.0
1628,740.0
1591,460.0
1579,740.0
1559,560.0
1715,700.0
1564,780.0
1488,780.0
2011,600.0
1625,620.0
1820,700.0
1695,740.0
1378,400.0
1470,780.0
1784,900.0
1351,420.0
1674,760.0
1468,660.0
1622,580.0
1674,660.0
1982,1080.0
1696,820.0
1436,620.0
1639,600.0
1623,1000.0
1881,800.0
1643,780.0
1713,620.0
1746,1020.0
1336,540.0
1749,480.0
1480,800.0
1567,680.0
1850,1140.0
1585,840.0
1742,720.0
1422,520.0
1626,540.0
1339,580.0
1698,1280.0
1446,520.0
1695,640.0
1634,660.0
1517,820.0
1663,620.0
1544,540.0
1928,700.0
1982,960.0
1682,700.0
1841,740.0
1490,460.0
1760,560.0
1558,780.0
1639,800.0
1796,820.0
1486,740.0
1440,580.0
1690,720.0
1520,520.0
1702,440.0
1308,740.0
1634,860.0
1556,620.0
1959,440.0
1586,600.0
1601,740.0
1636,1000.0
1912,740.0
1914,580.0
1733,400.0
1687,520.0
1451,660.0
1648,560.0
2102,780.0
2090,960.0
1736,620.0
1741,660.0
1452,540.0
1671,700.0
1757,560.0
1674,640.0
1777,740.0
1569,760.0
1698,700.0
2017,800.0
1149,20.0
1760,560.0
1112,20.0
1585,840.0
1250,40.0
1634,620.0
1089,0.0
1655,680.0
1139,0.0
1632,560.0
1211,0.0
1591,540.0
1770,760.0
1517,800.0
1113,0.0
1626,640.0
1122,120.0
1378,400.0
1076,0.0
1586,600.0
1137,40.0
1741,660.0
1520,520.0
1594,620.0
1093,0.0
1376,520.0
1527,560.0
1826,860.0
1185,0.0
1351,420.0
1102,20.0
1378,400.0
1089,0.0
1315,580.0
1698,1280.0
1695,1020.0
1102,20.0
1606,620.0
1582,740.0
1638,760.0
1480,800.0
1137,40.0
1647,500.0
1350,340.0
1089,0.0
1655,680.0
1089,0.0
1170,0.0
1089,0.0
1429,460.0
1070,80.0
1628,740.0
1089,0.0
1772,620.0
1408,460.0
1594,620.0
1499,900.0
1497,440.0
1670,760.0
1249,60.0
1089,0.0
1456,680.0
1197,0.0
1098,0.0
1262,0.0
1715,740.0
1339,240.0
2020,580.0
1697,660.0
1792,800.0
1193,20.0
1710,600.0
1657,640.0
1619,520.0
1075,0.0
1221,80.0
1189,40.0
1571,440.0
1650,660.0
1392,540.0
1585,320.0
1667,760.0
1124,20.0
1336,540.0
1211,0.0
