makespan,score
1472,720.0
1502,600.0
1613,540.0
1478,800.0
1641,460.0
1455,620.0
1696,640.0
1415,440.0
1750,860.0
1673,860.0
1815,580.0
1825,780.0
1848,880.0
1747,660.0
1870,680.0
1396,660.0
1475,840.0
1469,500.0
1524,940.0
1609,900.0
1518,660.0
1745,580.0
1685,540.0
1780,760.0
1630,660.0
1685,1040.0
1620,800.0
1526,840.0
1721,800.0
1354,840.0
1695,680.0
1444,420.0
1769,560.0
1770,920.0
1669,800.0
1445,600.0
1662,660.0
1782,560.0
1595,740.0
1790,540.0
1502,600.0
1626,720.0
1457,500.0
1829,860.0
1529,940.0
1589,800.0
1575,640.0
1596,880.0
1586,720.0
1585,600.0
1490,720.0
1432,300.0
1521,480.0
1435,640.0
1743,720.0
1780,820.0
1454,460.0
1411,420.0
1382,620.0
1965,860.0
1667,700.0
1799,860.0
1717,680.0
1899,700.0
1721,900.0
1732,780.0
1529,720.0
1413,520.0
1734,720.0
1779,720.0
1780,860.0
1516,460.0
1555,440.0
1345,480.0
1663,560.0
1358,780.0
1431,780.0
1603,680.0
1352,740.0
1967,820.0
1472,800.0
1369,560.0
1564,620.0
1661,700.0
1911,880.0
1432,940.0
1663,760.0
1812,600.0
1902,960.0
1797,900.0
1863,600.0
1603,600.0
1369,540.0
1775,620.0
1848,580.0
1324,400.0
1552,400.0
1585,400.0
1948,1060.0
1607,620.0
1585,660.0
1608,860.0
1310,940.0
1782,920.0
1539,720.0
1534,680.0
1620,780.0
1699,580.0
1742,700.0
1392,640.0
2199,780.0
1467,480.0
1690,620.0
1398,480.0
1484,700.0
1632,540.0
1423,880.0
1688,700.0
1470,380.0
1432,940.0
1662,540.0
1359,480.0
1652,640.0
1991,1080.0
1694,600.0
1608,740.0
1476,800.0
1632,540.0
1413,520.0
1649,640.0
1656,700.0
1639,640.0
1719,780.0
1728,980.0
1630,520.0
1325,600.0
1279,360.0
1513,860.0
1777,1000.0
1778,840.0
1861,740.0
1465,560.0
1663,820.0
1701,1120.0
1432,940.0
1345,500.0
1507,620.0
1845,740.0
1637,1020.0
1651,780.0
1502,460.0
1478,540.0
1793,640.0
1790,540.0
1771,740.0
1529,700.0
2082,900.0
1759,660.0
1568,580.0
1583,760.0
1685,1040.0
1911,880.0
1484,700.0
1595,700.0
1398,480.0
1526,840.0
1630,660.0
1505,720.0
1484,700.0
1778,680.0
1443,660.0
2011,1180.0
1300,680.0
1697,640.0
1452,700.0
1615,680.0
1598,740.0
1505,740.0
1629,1040.0
1628,500.0
1644,600.0
1666,660.0
1697,640.0
1629,600.0
1729,640.0
1818,1060.0
1763,880.0
1505,720.0
1433,780.0
1620,740.0
1807,1040.0
1563,980.0
1665,600.0
1607,760.0
1672,780.0
1486,900.0
1513,980.0
1744,820.0
1476,760.0
1696,740.0
1728,860.0
1449,460.0
2044,960.0
1525,780.0
1575,840.0
1658,620.0
1516,720.0
1418,520.0
1542,800.0
1558,700.0
1770,920.0
1656,700.0
1516,460.0
1593,860.0
1565,800.0
2011,580.0
2083,680.0
1455,660.0
1582,840.0
1476,1140.0
1600,1240.0
1642,700.0
1789,860.0
1423,860.0
1546,980.0
1438,880.0
1598,780.0
1405,700.0
1597,1000.0
1696,620.0
1909,880.0
1592,740.0
1443,540.0
1657,880.0
1675,660.0
1453,660.0
1662,580.0
1848,920.0
1735,780.0
1679,1020.0
1636,760.0
1946,980.0
1679,800.0
1991,1080.0
1831,980.0
1568,640.0
1648,780.0
1614,760.0
1435,640.0
1669,800.0
1710,820.0
1588,760.0
1695,760.0
1931,960.0
1575,720.0
1423,920.0
1805,860.0
1432,960.0
1524,840.0
1467,700.0
1608,980.0
1577,780.0
1682,1080.0
1951,1040.0
1433,800.0
1659,800.0
1662,660.0
1453,660.0
1735,1000.0
1620,660.0
1808,920.0
1510,660.0
1931,960.0
1773,900.0
1368,820.0
1531,1000.0
1354,840.0
1524,840.0
1423,920.0
1807,1060.0
1767,880.0
1858,1000.0
1689,780.0
1709,1060.0
1581,480.0
1410,740.0
1394,600.0
1545,620.0
1851,980.0
1842,800.0
1597,820.0
1622,880.0
1787,1080.0
1672,1000.0
1616,720.0
1950,820.0
1773,1040.0
1642,700.0
1681,840.0
1861,740.0
1759,800.0
1528,740.0
1866,660.0
1959,1200.0
1494,1140.0
1638,800.0
1547,940.0
1858,920.0
1824,960.0
1715,880.0
1685,1040.0
1600,1240.0
1609,1180.0
1745,980.0
1445,600.0
1582,660.0
1582,840.0
2044,960.0
1701,860.0
1737,960.0
1669,780.0
1568,840.0
1778,1100.0
1687,680.0
1919,740.0
1426,980.0
1770,940.0
1423,920.0
1755,980.0
1400,780.0
1960,760.0
1745,760.0
1518,660.0
1741,820.0
1549,760.0
2068,900.0
1795,1060.0
1991,1100.0
1950,940.0
1583,760.0
1909,880.0
1432,960.0
1849,820.0
1611,540.0
1703,860.0
1536,820.0
1502,900.0
