makespan,score
1397,7020.0
1273,6270.0
1448,6630.0
1373,6720.0
1478,7680.0
1443,6720.0
1261,7290.0
1394,8490.0
1315,6690.0
1356,7260.0
1342,6150.0
1376,7620.0
1485,7380.0
1293,6990.0
1379,5790.0
1214,7200.0
1539,8190.0
1593,8130.0
1361,7830.0
1289,6810.0
1206,7470.0
1391,6780.0
1315,6180.0
1544,8340.0
1286,5880.0
1294,7200.0
1373,6180.0
1688,5850.0
1332,5940.0
1349,8250.0
1255,6570.0
1348,6360.0
1533,8010.0
1155,6480.0
1383,7380.0
1477,7800.0
1337,7050.0
1362,6840.0
1321,6720.0
1585,7170.0
1239,6240.0
1276,7290.0
1464,6180.0
1387,7770.0
1533,7380.0
1313,6330.0
1437,7410.0
1475,7590.0
1533,7710.0
1449,5790.0
1254,7140.0
1373,6720.0
1359,7410.0
1322,6900.0
1221,8130.0
1345,8640.0
1530,6240.0
1342,8430.0
1361,5790.0
1500,7680.0
1384,8400.0
1318,6600.0
1350,7950.0
1335,6480.0
1345,5340.0
1404,7380.0
1406,7110.0
1248,6120.0
1247,6990.0
1300,5760.0
1560,6720.0
1239,8760.0
1436,6780.0
1439,6510.0
1268,7350.0
1395,7410.0
1205,4530.0
1465,9000.0
1352,5130.0
1363,8190.0
1351,5100.0
1237,6660.0
1217,6060.0
1393,6930.0
1294,6900.0
1428,5610.0
1588,8700.0
1332,6450.0
1315,7860.0
1395,9180.0
1392,7590.0
1171,5910.0
1304,6570.0
1370,7740.0
1269,5370.0
1164,6690.0
1455,8100.0
1480,7860.0
1470,6420.0
1431,8490.0
1425,6660.0
1462,5190.0
1282,7260.0
1344,6210.0
1239,6210.0
1352,4950.0
1310,7080.0
1413,6390.0
1349,6390.0
1323,7500.0
1209,5670.0
1268,5520.0
1363,6870.0
1494,5130.0
1378,9720.0
1253,6060.0
1207,6840.0
1300,7560.0
1283,6450.0
1540,5940.0
1342,6150.0
1443,6720.0
1383,6960.0
1429,7500.0
1240,6810.0
1495,5580.0
1465,6900.0
1296,7110.0
1486,7770.0
1361,7830.0
1489,5820.0
1461,6270.0
1567,6390.0
1502,6180.0
1328,7230.0
1155,6540.0
1295,6780.0
1529,5580.0
1320,5430.0
1246,5790.0
1464,6120.0
1668,6630.0
1255,6810.0
1373,4410.0
1716,7140.0
1396,5640.0
1416,5970.0
1292,4980.0
1319,6930.0
1192,6600.0
1330,7680.0
1342,7650.0
1383,7050.0
1462,5190.0
1342,5790.0
1403,6090.0
1501,6000.0
1186,5580.0
1380,9090.0
1469,5940.0
1298,6840.0
1471,7080.0
1328,5040.0
1429,7020.0
1262,6600.0
1293,6390.0
1298,5520.0
1363,6870.0
1251,8340.0
1335,6780.0
1262,6540.0
1511,6720.0
1513,6780.0
1436,7770.0
1281,6450.0
1406,5670.0
1390,5850.0
1346,4950.0
1304,7620.0
1306,6480.0
1349,7710.0
1366,7530.0
1335,5730.0
1250,6570.0
1209,5670.0
1231,6120.0
1633,8790.0
1505,7050.0
1255,6570.0
1456,5010.0
1504,6390.0
1472,6630.0
1311,7230.0
1185,6000.0
1449,7140.0
1295,7170.0
1296,7110.0
1354,4860.0
1483,8430.0
1447,8370.0
1469,5940.0
1344,6210.0
1418,6300.0
1348,6270.0
1406,7110.0
1265,6660.0
1462,8910.0
1282,5100.0
1477,7290.0
1329,6870.0
1282,6930.0
1425,5400.0
1421,5760.0
1338,5010.0
1372,6210.0
1411,8160.0
1399,6510.0
1179,7260.0
1277,7950.0
1309,5640.0
1294,7770.0
1443,5070.0
1288,6330.0
1516,7920.0
1270,6990.0
1282,6810.0
1486,7770.0
1209,5670.0
1520,6210.0
1472,5400.0
1353,7290.0
1189,6660.0
1308,5760.0
1367,6480.0
1264,6180.0
1282,4770.0
1353,5880.0
1300,5220.0
1452,7050.0
1292,7350.0
1345,5490.0
1354,4890.0
1408,5880.0
1404,6030.0
1333,6660.0
1401,7020.0
1179,7260.0
1301,6840.0
1345,5760.0
1501,7470.0
1433,7680.0
1269,5790.0
1292,6060.0
1376,6780.0
1296,8160.0
1418,6780.0
1346,6780.0
1362,5490.0
1527,5130.0
1456,5010.0
1433,5850.0
1261,6060.0
1376,5490.0
1442,6480.0
1440,8340.0
1399,7830.0
1235,5670.0
1410,5490.0
1289,6480.0
1282,5100.0
1408,6180.0
1357,6360.0
1200,6540.0
1137,5940.0
1218,6120.0
1320,6420.0
1497,5490.0
1324,6600.0
1495,6030.0
1202,7140.0
1300,5760.0
1309,5640.0
1362,5610.0
1298,6840.0
1177,7710.0
1448,7320.0
1272,6300.0
1347,6240.0
1583,7290.0
1431,7320.0
1413,5820.0
1241,4770.0
1506,6660.0
1275,6600.0
1409,5070.0
1307,6810.0
1450,7230.0
1185,6000.0
1380,6750.0
1209,5670.0
1447,5400.0
1253,6630.0
1346,7350.0
1388,6600.0
1416,7770.0
1209,5670.0
1470,5700.0
1227,5760.0
1352,7260.0
1377,5370.0
1404,6990.0
1319,6540.0
1319,6540.0
1409,4740.0
1291,4920.0
1269,6660.0
1305,4800.0
1313,5910.0
1310,8340.0
1359,5790.0
1406,5070.0
1412,5670.0
1497,5460.0
1234,6120.0
1361,5760.0
1502,5880.0
1329,6870.0
1252,5670.0
1370,5790.0
1390,7200.0
1438,7230.0
1370,7530.0
1244,7050.0
1581,5940.0
1206,4890.0
1355,7290.0
1329,5970.0
1379,8370.0
1465,5880.0
1328,6990.0
1344,6780.0
1272,6930.0
1447,7260.0
1354,6390.0
1242,5100.0
