,Data,Mode,Makespan,Time
1,abz5,Fitness,1405,55.2104
2,abz5,Fitness,1450,55.0181
3,abz5,Fitness,1358,54.9331
4,abz5,Fitness,1425,55.0807
5,abz5,Fitness,1463,54.6466
6,abz6,Fitness,1133,55.3211
7,abz6,Fitness,1115,55.0855
8,abz6,Fitness,1087,54.8989
9,abz6,Fitness,1150,55.2443
10,abz6,Fitness,1098,54.9622
11,abz7,Fitness,990,142.4147
12,abz7,Fitness,1022,146.804
13,abz7,Fitness,952,139.3085
14,abz7,Fitness,944,142.2187
15,abz7,Fitness,950,141.63
16,abz8,Fitness,998,140.7486
17,abz8,Fitness,935,138.4839
18,abz8,Fitness,1003,140.6865
19,abz8,Fitness,918,138.5269
20,abz8,Fitness,1010,141.0644
21,abz9,Fitness,983,142.7865
22,abz9,Fitness,977,140.4755
23,abz9,Fitness,990,140.4072
24,abz9,Fitness,1041,142.9929
25,abz9,Fitness,1016,143.8238
26,test_10015,Fitness,3615,993.2844
27,test_10015,Fitness,3545,968.7363
28,test_10015,Fitness,3650,1000.6534
29,test_10015,Fitness,3498,991.0942
30,test_10015,Fitness,3688,1001.7752
31,test_2020,Fitness,1186,191.5332
32,test_2020,Fitness,1173,193.6531
33,test_2020,Fitness,1137,191.5708
34,test_2020,Fitness,1197,188.8613
35,test_2020,Fitness,1163,188.932
36,test_3030,Fitness,2009,470.1494
37,test_3030,Fitness,2086,481.4875
38,test_3030,Fitness,2020,472.3512
39,test_3030,Fitness,2026,472.6473
40,test_3030,Fitness,2030,475.3073
41,test_4040,Fitness,2915,729.6914
42,test_4040,Fitness,2800,745.1741
43,test_4040,Fitness,2905,731.8248
44,test_4040,Fitness,2887,732.6111
45,test_4040,Fitness,2826,726.959
46,test_5020,Fitness,2262,574.5123
47,test_5020,Fitness,2204,565.2618
48,test_5020,Fitness,2255,575.3579
49,test_5020,Fitness,2213,560.9759
50,test_5020,Fitness,2126,544.3363
