,Data,Mode,Makespan,Time
1,abz5,Plain,1340,53.0481
2,abz5,Plain,1403,53.7443
3,abz5,Plain,1354,53.7672
4,abz5,Plain,1293,53.3483
5,abz5,Plain,1371,53.9447
6,abz5,Plain,1357,52.838
7,abz5,Plain,1362,54.8391
8,abz5,Plain,1404,56.1556
9,abz5,Plain,1347,53.4238
10,abz5,Plain,1393,53.5485
21,abz5,Replacement,1302,52.1804
22,abz5,Replacement,1321,52.6159
23,abz5,Replacement,1329,52.714
24,abz5,Replacement,1329,52.9953
25,abz5,Replacement,1329,52.5894
26,abz5,Replacement,1286,52.6522
27,abz5,Replacement,1294,52.9195
28,abz5,Replacement,1364,53.3742
29,abz5,Replacement,1355,52.8437
30,abz5,Replacement,1342,52.7419
31,abz5,Crossover,1321,53.151
32,abz5,Crossover,1362,53.6466
33,abz5,Crossover,1322,53.6117
34,abz5,Crossover,1321,53.7383
35,abz5,Crossover,1345,53.3633
36,abz5,Crossover,1333,53.3067
37,abz5,Crossover,1362,53.3264
38,abz5,Crossover,1362,53.3653
39,abz5,Crossover,1321,53.6515
40,abz5,Crossover,1357,53.2606
41,abz6,Plain,1010,52.6983
42,abz6,Plain,1018,53.0651
43,abz6,Plain,1088,53.1538
44,abz6,Plain,1092,53.7913
45,abz6,Plain,1060,53.0003
46,abz6,Plain,1058,53.3164
47,abz6,Plain,1063,53.1987
48,abz6,Plain,1056,52.9045
49,abz6,Plain,1102,53.2017
50,abz6,Plain,987,52.6911
61,abz6,Replacement,987,51.3686
62,abz6,Replacement,995,51.1303
63,abz6,Replacement,977,51.2654
64,abz6,Replacement,1002,51.8525
65,abz6,Replacement,973,51.57
66,abz6,Replacement,985,52.0079
67,abz6,Replacement,989,51.1823
68,abz6,Replacement,996,51.8523
69,abz6,Replacement,1001,51.4115
70,abz6,Replacement,1007,52.2313
71,abz6,Crossover,1000,51.8115
72,abz6,Crossover,977,51.7466
73,abz6,Crossover,1000,53.7056
74,abz6,Crossover,1006,52.1721
75,abz6,Crossover,989,51.7396
76,abz6,Crossover,1027,51.7277
77,abz6,Crossover,1018,51.7137
78,abz6,Crossover,994,51.6299
79,abz6,Crossover,1010,51.8315
80,abz6,Crossover,1013,52.3499
81,abz7,Plain,909,135.359
82,abz7,Plain,882,135.9843
83,abz7,Plain,912,135.4762
84,abz7,Plain,876,135.1064
85,abz7,Plain,900,139.9387
86,abz7,Plain,881,137.7985
87,abz7,Plain,923,194.1567
88,abz7,Plain,868,295.1797
89,abz7,Plain,885,136.484
90,abz7,Plain,883,138.1415
101,abz7,Replacement,787,136.7166
102,abz7,Replacement,798,137.0614
103,abz7,Replacement,803,135.7739
104,abz7,Replacement,769,136.0823
105,abz7,Replacement,786,135.9553
106,abz7,Replacement,802,134.593
107,abz7,Replacement,785,135.9454
108,abz7,Replacement,798,135.344
109,abz7,Replacement,780,136.5615
110,abz7,Replacement,790,136.4865
111,abz7,Crossover,800,135.6891
112,abz7,Crossover,808,136.5898
113,abz7,Crossover,794,136.6003
114,abz7,Crossover,806,136.5061
115,abz7,Crossover,809,137.4713
116,abz7,Crossover,817,136.6206
117,abz7,Crossover,807,136.32
118,abz7,Crossover,796,135.6457
119,abz7,Crossover,804,136.475
120,abz7,Crossover,822,136.9348
121,abz8,Plain,909,135.0638
122,abz8,Plain,960,136.9613
123,abz8,Plain,931,135.9614
124,abz8,Plain,924,135.0541
125,abz8,Plain,929,135.6368
126,abz8,Plain,941,136.3541
127,abz8,Plain,950,135.9733
128,abz8,Plain,934,136.329
129,abz8,Plain,916,135.0966
130,abz8,Plain,965,137.7358
141,abz8,Replacement,814,136.3443
142,abz8,Replacement,824,135.6572
143,abz8,Replacement,791,135.1324
144,abz8,Replacement,811,137.075
145,abz8,Replacement,805,136.7782
146,abz8,Replacement,821,136.2466
147,abz8,Replacement,825,138.9824
148,abz8,Replacement,815,135.714
149,abz8,Replacement,805,136.8759
150,abz8,Replacement,800,135.5584
151,abz8,Crossover,847,133.1968
152,abz8,Crossover,847,133.7962
153,abz8,Crossover,832,134.3363
154,abz8,Crossover,825,134.5448
155,abz8,Crossover,830,133.7768
156,abz8,Crossover,823,134.2038
157,abz8,Crossover,831,133.4571
158,abz8,Crossover,824,134.8294
159,abz8,Crossover,841,134.232
160,abz8,Crossover,815,134.0206
161,abz9,Plain,925,137.0652
162,abz9,Plain,962,137.196
163,abz9,Plain,925,136.123
164,abz9,Plain,962,136.6735
165,abz9,Plain,957,136.6526
166,abz9,Plain,905,137.221
