,Basic GA,Adaptive Fitness,MIO Crossover,MIO Replacement
abz5(10¡¿10),100,100.798277,99.212862,97.952326
abz6(10¡¿10),100,101.990509,98.005725,97.147
abz7(20¡¿15),100,87.786843,86.185449,85.912024
abz8(20¡¿15),100,101.54613,98.54577,100.30805
abz9(20¡¿15),100,102.787897,100.277254,98.86904
Custom(20¡¿20),100,101.345347,105.950511,106.869822
Custom(30¡¿30),100,105.835827,91.084728,90.813728
Custom(40¡¿40),100,105.478397,98.366889,99.211466
Custom(50¡¿20),100,101.731404,93.246243,91.709241
Custom(100¡¿15),100,102.58416,76.930807,75.057215
